Geo_ID,County_State,County,State,State_Abbrev
0500000US01001,"Autauga County, Alabama",Autauga County,Alabama,AL
0500000US01003,"Baldwin County, Alabama",Baldwin County,Alabama,AL
0500000US01005,"Barbour County, Alabama",Barbour County,Alabama,AL
0500000US01007,"Bibb County, Alabama",Bibb County,Alabama,AL
0500000US01009,"Blount County, Alabama",Blount County,Alabama,AL
0500000US01011,"Bullock County, Alabama",Bullock County,Alabama,AL
0500000US01013,"Butler County, Alabama",Butler County,Alabama,AL
0500000US01015,"Calhoun County, Alabama",Calhoun County,Alabama,AL
0500000US01017,"Chambers County, Alabama",Chambers County,Alabama,AL
0500000US01019,"Cherokee County, Alabama",Cherokee County,Alabama,AL
0500000US01021,"Chilton County, Alabama",Chilton County,Alabama,AL
0500000US01023,"Choctaw County, Alabama",Choctaw County,Alabama,AL
0500000US01025,"Clarke County, Alabama",Clarke County,Alabama,AL
0500000US01027,"Clay County, Alabama",Clay County,Alabama,AL
0500000US01029,"Cleburne County, Alabama",Cleburne County,Alabama,AL
0500000US01031,"Coffee County, Alabama",Coffee County,Alabama,AL
0500000US01033,"Colbert County, Alabama",Colbert County,Alabama,AL
0500000US01035,"Conecuh County, Alabama",Conecuh County,Alabama,AL
0500000US01037,"Coosa County, Alabama",Coosa County,Alabama,AL
0500000US01039,"Covington County, Alabama",Covington County,Alabama,AL
0500000US01041,"Crenshaw County, Alabama",Crenshaw County,Alabama,AL
0500000US01043,"Cullman County, Alabama",Cullman County,Alabama,AL
0500000US01045,"Dale County, Alabama",Dale County,Alabama,AL
0500000US01047,"Dallas County, Alabama",Dallas County,Alabama,AL
0500000US01049,"DeKalb County, Alabama",DeKalb County,Alabama,AL
0500000US01051,"Elmore County, Alabama",Elmore County,Alabama,AL
0500000US01053,"Escambia County, Alabama",Escambia County,Alabama,AL
0500000US01055,"Etowah County, Alabama",Etowah County,Alabama,AL
0500000US01057,"Fayette County, Alabama",Fayette County,Alabama,AL
0500000US01059,"Franklin County, Alabama",Franklin County,Alabama,AL
0500000US01061,"Geneva County, Alabama",Geneva County,Alabama,AL
0500000US01063,"Greene County, Alabama",Greene County,Alabama,AL
0500000US01065,"Hale County, Alabama",Hale County,Alabama,AL
0500000US01067,"Henry County, Alabama",Henry County,Alabama,AL
0500000US01069,"Houston County, Alabama",Houston County,Alabama,AL
0500000US01071,"Jackson County, Alabama",Jackson County,Alabama,AL
0500000US01073,"Jefferson County, Alabama",Jefferson County,Alabama,AL
0500000US01075,"Lamar County, Alabama",Lamar County,Alabama,AL
0500000US01077,"Lauderdale County, Alabama",Lauderdale County,Alabama,AL
0500000US01079,"Lawrence County, Alabama",Lawrence County,Alabama,AL
0500000US01081,"Lee County, Alabama",Lee County,Alabama,AL
0500000US01083,"Limestone County, Alabama",Limestone County,Alabama,AL
0500000US01085,"Lowndes County, Alabama",Lowndes County,Alabama,AL
0500000US01087,"Macon County, Alabama",Macon County,Alabama,AL
0500000US01089,"Madison County, Alabama",Madison County,Alabama,AL
0500000US01091,"Marengo County, Alabama",Marengo County,Alabama,AL
0500000US01093,"Marion County, Alabama",Marion County,Alabama,AL
0500000US01095,"Marshall County, Alabama",Marshall County,Alabama,AL
0500000US01097,"Mobile County, Alabama",Mobile County,Alabama,AL
0500000US01099,"Monroe County, Alabama",Monroe County,Alabama,AL
0500000US01101,"Montgomery County, Alabama",Montgomery County,Alabama,AL
0500000US01103,"Morgan County, Alabama",Morgan County,Alabama,AL
0500000US01105,"Perry County, Alabama",Perry County,Alabama,AL
0500000US01107,"Pickens County, Alabama",Pickens County,Alabama,AL
0500000US01109,"Pike County, Alabama",Pike County,Alabama,AL
0500000US01111,"Randolph County, Alabama",Randolph County,Alabama,AL
0500000US01113,"Russell County, Alabama",Russell County,Alabama,AL
0500000US01115,"St. Clair County, Alabama",St. Clair County,Alabama,AL
0500000US01117,"Shelby County, Alabama",Shelby County,Alabama,AL
0500000US01119,"Sumter County, Alabama",Sumter County,Alabama,AL
0500000US01121,"Talladega County, Alabama",Talladega County,Alabama,AL
0500000US01123,"Tallapoosa County, Alabama",Tallapoosa County,Alabama,AL
0500000US01125,"Tuscaloosa County, Alabama",Tuscaloosa County,Alabama,AL
0500000US01127,"Walker County, Alabama",Walker County,Alabama,AL
0500000US01129,"Washington County, Alabama",Washington County,Alabama,AL
0500000US01131,"Wilcox County, Alabama",Wilcox County,Alabama,AL
0500000US01133,"Winston County, Alabama",Winston County,Alabama,AL
0500000US02013,"Aleutians East Borough, Alaska",Aleutians East Borough,Alaska,AK
0500000US02016,"Aleutians West Census Area, Alaska",Aleutians West Census Area,Alaska,AK
0500000US02020,"Anchorage Municipality, Alaska",Anchorage Municipality,Alaska,AK
0500000US02050,"Bethel Census Area, Alaska",Bethel Census Area,Alaska,AK
0500000US02060,"Bristol Bay Borough, Alaska",Bristol Bay Borough,Alaska,AK
0500000US02063,"Chugach Census Area, Alaska",Chugach Census Area,Alaska,AK
0500000US02066,"Copper River Census Area, Alaska",Copper River Census Area,Alaska,AK
0500000US02068,"Denali Borough, Alaska",Denali Borough,Alaska,AK
0500000US02070,"Dillingham Census Area, Alaska",Dillingham Census Area,Alaska,AK
0500000US02090,"Fairbanks North Star Borough, Alaska",Fairbanks North Star Borough,Alaska,AK
0500000US02100,"Haines Borough, Alaska",Haines Borough,Alaska,AK
0500000US02105,"Hoonah-Angoon Census Area, Alaska",Hoonah-Angoon Census Area,Alaska,AK
0500000US02110,"Juneau City and Borough, Alaska",Juneau City and Borough,Alaska,AK
0500000US02122,"Kenai Peninsula Borough, Alaska",Kenai Peninsula Borough,Alaska,AK
0500000US02130,"Ketchikan Gateway Borough, Alaska",Ketchikan Gateway Borough,Alaska,AK
0500000US02150,"Kodiak Island Borough, Alaska",Kodiak Island Borough,Alaska,AK
0500000US02158,"Kusilvak Census Area, Alaska",Kusilvak Census Area,Alaska,AK
0500000US02164,"Lake and Peninsula Borough, Alaska",Lake and Peninsula Borough,Alaska,AK
0500000US02170,"Matanuska-Susitna Borough, Alaska",Matanuska-Susitna Borough,Alaska,AK
0500000US02180,"Nome Census Area, Alaska",Nome Census Area,Alaska,AK
0500000US02185,"North Slope Borough, Alaska",North Slope Borough,Alaska,AK
0500000US02188,"Northwest Arctic Borough, Alaska",Northwest Arctic Borough,Alaska,AK
0500000US02195,"Petersburg Borough, Alaska",Petersburg Borough,Alaska,AK
0500000US02198,"Prince of Wales-Hyder Census Area, Alaska",Prince of Wales-Hyder Census Area,Alaska,AK
0500000US02220,"Sitka City and Borough, Alaska",Sitka City and Borough,Alaska,AK
0500000US02230,"Skagway Municipality, Alaska",Skagway Municipality,Alaska,AK
0500000US02240,"Southeast Fairbanks Census Area, Alaska",Southeast Fairbanks Census Area,Alaska,AK
0500000US02275,"Wrangell City and Borough, Alaska",Wrangell City and Borough,Alaska,AK
0500000US02282,"Yakutat City and Borough, Alaska",Yakutat City and Borough,Alaska,AK
0500000US02290,"Yukon-Koyukuk Census Area, Alaska",Yukon-Koyukuk Census Area,Alaska,AK
0500000US04001,"Apache County, Arizona",Apache County,Arizona,AZ
0500000US04003,"Cochise County, Arizona",Cochise County,Arizona,AZ
0500000US04005,"Coconino County, Arizona",Coconino County,Arizona,AZ
0500000US04007,"Gila County, Arizona",Gila County,Arizona,AZ
0500000US04009,"Graham County, Arizona",Graham County,Arizona,AZ
0500000US04011,"Greenlee County, Arizona",Greenlee County,Arizona,AZ
0500000US04012,"La Paz County, Arizona",La Paz County,Arizona,AZ
0500000US04013,"Maricopa County, Arizona",Maricopa County,Arizona,AZ
0500000US04015,"Mohave County, Arizona",Mohave County,Arizona,AZ
0500000US04017,"Navajo County, Arizona",Navajo County,Arizona,AZ
0500000US04019,"Pima County, Arizona",Pima County,Arizona,AZ
0500000US04021,"Pinal County, Arizona",Pinal County,Arizona,AZ
0500000US04023,"Santa Cruz County, Arizona",Santa Cruz County,Arizona,AZ
0500000US04025,"Yavapai County, Arizona",Yavapai County,Arizona,AZ
0500000US04027,"Yuma County, Arizona",Yuma County,Arizona,AZ
0500000US05001,"Arkansas County, Arkansas",Arkansas County,Arkansas,AR
0500000US05003,"Ashley County, Arkansas",Ashley County,Arkansas,AR
0500000US05005,"Baxter County, Arkansas",Baxter County,Arkansas,AR
0500000US05007,"Benton County, Arkansas",Benton County,Arkansas,AR
0500000US05009,"Boone County, Arkansas",Boone County,Arkansas,AR
0500000US05011,"Bradley County, Arkansas",Bradley County,Arkansas,AR
0500000US05013,"Calhoun County, Arkansas",Calhoun County,Arkansas,AR
0500000US05015,"Carroll County, Arkansas",Carroll County,Arkansas,AR
0500000US05017,"Chicot County, Arkansas",Chicot County,Arkansas,AR
0500000US05019,"Clark County, Arkansas",Clark County,Arkansas,AR
0500000US05021,"Clay County, Arkansas",Clay County,Arkansas,AR
0500000US05023,"Cleburne County, Arkansas",Cleburne County,Arkansas,AR
0500000US05025,"Cleveland County, Arkansas",Cleveland County,Arkansas,AR
0500000US05027,"Columbia County, Arkansas",Columbia County,Arkansas,AR
0500000US05029,"Conway County, Arkansas",Conway County,Arkansas,AR
0500000US05031,"Craighead County, Arkansas",Craighead County,Arkansas,AR
0500000US05033,"Crawford County, Arkansas",Crawford County,Arkansas,AR
0500000US05035,"Crittenden County, Arkansas",Crittenden County,Arkansas,AR
0500000US05037,"Cross County, Arkansas",Cross County,Arkansas,AR
0500000US05039,"Dallas County, Arkansas",Dallas County,Arkansas,AR
0500000US05041,"Desha County, Arkansas",Desha County,Arkansas,AR
0500000US05043,"Drew County, Arkansas",Drew County,Arkansas,AR
0500000US05045,"Faulkner County, Arkansas",Faulkner County,Arkansas,AR
0500000US05047,"Franklin County, Arkansas",Franklin County,Arkansas,AR
0500000US05049,"Fulton County, Arkansas",Fulton County,Arkansas,AR
0500000US05051,"Garland County, Arkansas",Garland County,Arkansas,AR
0500000US05053,"Grant County, Arkansas",Grant County,Arkansas,AR
0500000US05055,"Greene County, Arkansas",Greene County,Arkansas,AR
0500000US05057,"Hempstead County, Arkansas",Hempstead County,Arkansas,AR
0500000US05059,"Hot Spring County, Arkansas",Hot Spring County,Arkansas,AR
0500000US05061,"Howard County, Arkansas",Howard County,Arkansas,AR
0500000US05063,"Independence County, Arkansas",Independence County,Arkansas,AR
0500000US05065,"Izard County, Arkansas",Izard County,Arkansas,AR
0500000US05067,"Jackson County, Arkansas",Jackson County,Arkansas,AR
0500000US05069,"Jefferson County, Arkansas",Jefferson County,Arkansas,AR
0500000US05071,"Johnson County, Arkansas",Johnson County,Arkansas,AR
0500000US05073,"Lafayette County, Arkansas",Lafayette County,Arkansas,AR
0500000US05075,"Lawrence County, Arkansas",Lawrence County,Arkansas,AR
0500000US05077,"Lee County, Arkansas",Lee County,Arkansas,AR
0500000US05079,"Lincoln County, Arkansas",Lincoln County,Arkansas,AR
0500000US05081,"Little River County, Arkansas",Little River County,Arkansas,AR
0500000US05083,"Logan County, Arkansas",Logan County,Arkansas,AR
0500000US05085,"Lonoke County, Arkansas",Lonoke County,Arkansas,AR
0500000US05087,"Madison County, Arkansas",Madison County,Arkansas,AR
0500000US05089,"Marion County, Arkansas",Marion County,Arkansas,AR
0500000US05091,"Miller County, Arkansas",Miller County,Arkansas,AR
0500000US05093,"Mississippi County, Arkansas",Mississippi County,Arkansas,AR
0500000US05095,"Monroe County, Arkansas",Monroe County,Arkansas,AR
0500000US05097,"Montgomery County, Arkansas",Montgomery County,Arkansas,AR
0500000US05099,"Nevada County, Arkansas",Nevada County,Arkansas,AR
0500000US05101,"Newton County, Arkansas",Newton County,Arkansas,AR
0500000US05103,"Ouachita County, Arkansas",Ouachita County,Arkansas,AR
0500000US05105,"Perry County, Arkansas",Perry County,Arkansas,AR
0500000US05107,"Phillips County, Arkansas",Phillips County,Arkansas,AR
0500000US05109,"Pike County, Arkansas",Pike County,Arkansas,AR
0500000US05111,"Poinsett County, Arkansas",Poinsett County,Arkansas,AR
0500000US05113,"Polk County, Arkansas",Polk County,Arkansas,AR
0500000US05115,"Pope County, Arkansas",Pope County,Arkansas,AR
0500000US05117,"Prairie County, Arkansas",Prairie County,Arkansas,AR
0500000US05119,"Pulaski County, Arkansas",Pulaski County,Arkansas,AR
0500000US05121,"Randolph County, Arkansas",Randolph County,Arkansas,AR
0500000US05123,"St. Francis County, Arkansas",St. Francis County,Arkansas,AR
0500000US05125,"Saline County, Arkansas",Saline County,Arkansas,AR
0500000US05127,"Scott County, Arkansas",Scott County,Arkansas,AR
0500000US05129,"Searcy County, Arkansas",Searcy County,Arkansas,AR
0500000US05131,"Sebastian County, Arkansas",Sebastian County,Arkansas,AR
0500000US05133,"Sevier County, Arkansas",Sevier County,Arkansas,AR
0500000US05135,"Sharp County, Arkansas",Sharp County,Arkansas,AR
0500000US05137,"Stone County, Arkansas",Stone County,Arkansas,AR
0500000US05139,"Union County, Arkansas",Union County,Arkansas,AR
0500000US05141,"Van Buren County, Arkansas",Van Buren County,Arkansas,AR
0500000US05143,"Washington County, Arkansas",Washington County,Arkansas,AR
0500000US05145,"White County, Arkansas",White County,Arkansas,AR
0500000US05147,"Woodruff County, Arkansas",Woodruff County,Arkansas,AR
0500000US05149,"Yell County, Arkansas",Yell County,Arkansas,AR
0500000US06001,"Alameda County, California",Alameda County,California,CA
0500000US06003,"Alpine County, California",Alpine County,California,CA
0500000US06005,"Amador County, California",Amador County,California,CA
0500000US06007,"Butte County, California",Butte County,California,CA
0500000US06009,"Calaveras County, California",Calaveras County,California,CA
0500000US06011,"Colusa County, California",Colusa County,California,CA
0500000US06013,"Contra Costa County, California",Contra Costa County,California,CA
0500000US06015,"Del Norte County, California",Del Norte County,California,CA
0500000US06017,"El Dorado County, California",El Dorado County,California,CA
0500000US06019,"Fresno County, California",Fresno County,California,CA
0500000US06021,"Glenn County, California",Glenn County,California,CA
0500000US06023,"Humboldt County, California",Humboldt County,California,CA
0500000US06025,"Imperial County, California",Imperial County,California,CA
0500000US06027,"Inyo County, California",Inyo County,California,CA
0500000US06029,"Kern County, California",Kern County,California,CA
0500000US06031,"Kings County, California",Kings County,California,CA
0500000US06033,"Lake County, California",Lake County,California,CA
0500000US06035,"Lassen County, California",Lassen County,California,CA
0500000US06037,"Los Angeles County, California",Los Angeles County,California,CA
0500000US06039,"Madera County, California",Madera County,California,CA
0500000US06041,"Marin County, California",Marin County,California,CA
0500000US06043,"Mariposa County, California",Mariposa County,California,CA
0500000US06045,"Mendocino County, California",Mendocino County,California,CA
0500000US06047,"Merced County, California",Merced County,California,CA
0500000US06049,"Modoc County, California",Modoc County,California,CA
0500000US06051,"Mono County, California",Mono County,California,CA
0500000US06053,"Monterey County, California",Monterey County,California,CA
0500000US06055,"Napa County, California",Napa County,California,CA
0500000US06057,"Nevada County, California",Nevada County,California,CA
0500000US06059,"Orange County, California",Orange County,California,CA
0500000US06061,"Placer County, California",Placer County,California,CA
0500000US06063,"Plumas County, California",Plumas County,California,CA
0500000US06065,"Riverside County, California",Riverside County,California,CA
0500000US06067,"Sacramento County, California",Sacramento County,California,CA
0500000US06069,"San Benito County, California",San Benito County,California,CA
0500000US06071,"San Bernardino County, California",San Bernardino County,California,CA
0500000US06073,"San Diego County, California",San Diego County,California,CA
0500000US06075,"San Francisco County, California",San Francisco County,California,CA
0500000US06077,"San Joaquin County, California",San Joaquin County,California,CA
0500000US06079,"San Luis Obispo County, California",San Luis Obispo County,California,CA
0500000US06081,"San Mateo County, California",San Mateo County,California,CA
0500000US06083,"Santa Barbara County, California",Santa Barbara County,California,CA
0500000US06085,"Santa Clara County, California",Santa Clara County,California,CA
0500000US06087,"Santa Cruz County, California",Santa Cruz County,California,CA
0500000US06089,"Shasta County, California",Shasta County,California,CA
0500000US06091,"Sierra County, California",Sierra County,California,CA
0500000US06093,"Siskiyou County, California",Siskiyou County,California,CA
0500000US06095,"Solano County, California",Solano County,California,CA
0500000US06097,"Sonoma County, California",Sonoma County,California,CA
0500000US06099,"Stanislaus County, California",Stanislaus County,California,CA
0500000US06101,"Sutter County, California",Sutter County,California,CA
0500000US06103,"Tehama County, California",Tehama County,California,CA
0500000US06105,"Trinity County, California",Trinity County,California,CA
0500000US06107,"Tulare County, California",Tulare County,California,CA
0500000US06109,"Tuolumne County, California",Tuolumne County,California,CA
0500000US06111,"Ventura County, California",Ventura County,California,CA
0500000US06113,"Yolo County, California",Yolo County,California,CA
0500000US06115,"Yuba County, California",Yuba County,California,CA
0500000US08001,"Adams County, Colorado",Adams County,Colorado,CO
0500000US08003,"Alamosa County, Colorado",Alamosa County,Colorado,CO
0500000US08005,"Arapahoe County, Colorado",Arapahoe County,Colorado,CO
0500000US08007,"Archuleta County, Colorado",Archuleta County,Colorado,CO
0500000US08009,"Baca County, Colorado",Baca County,Colorado,CO
0500000US08011,"Bent County, Colorado",Bent County,Colorado,CO
0500000US08013,"Boulder County, Colorado",Boulder County,Colorado,CO
0500000US08014,"Broomfield County, Colorado",Broomfield County,Colorado,CO
0500000US08015,"Chaffee County, Colorado",Chaffee County,Colorado,CO
0500000US08017,"Cheyenne County, Colorado",Cheyenne County,Colorado,CO
0500000US08019,"Clear Creek County, Colorado",Clear Creek County,Colorado,CO
0500000US08021,"Conejos County, Colorado",Conejos County,Colorado,CO
0500000US08023,"Costilla County, Colorado",Costilla County,Colorado,CO
0500000US08025,"Crowley County, Colorado",Crowley County,Colorado,CO
0500000US08027,"Custer County, Colorado",Custer County,Colorado,CO
0500000US08029,"Delta County, Colorado",Delta County,Colorado,CO
0500000US08031,"Denver County, Colorado",Denver County,Colorado,CO
0500000US08033,"Dolores County, Colorado",Dolores County,Colorado,CO
0500000US08035,"Douglas County, Colorado",Douglas County,Colorado,CO
0500000US08037,"Eagle County, Colorado",Eagle County,Colorado,CO
0500000US08039,"Elbert County, Colorado",Elbert County,Colorado,CO
0500000US08041,"El Paso County, Colorado",El Paso County,Colorado,CO
0500000US08043,"Fremont County, Colorado",Fremont County,Colorado,CO
0500000US08045,"Garfield County, Colorado",Garfield County,Colorado,CO
0500000US08047,"Gilpin County, Colorado",Gilpin County,Colorado,CO
0500000US08049,"Grand County, Colorado",Grand County,Colorado,CO
0500000US08051,"Gunnison County, Colorado",Gunnison County,Colorado,CO
0500000US08053,"Hinsdale County, Colorado",Hinsdale County,Colorado,CO
0500000US08055,"Huerfano County, Colorado",Huerfano County,Colorado,CO
0500000US08057,"Jackson County, Colorado",Jackson County,Colorado,CO
0500000US08059,"Jefferson County, Colorado",Jefferson County,Colorado,CO
0500000US08061,"Kiowa County, Colorado",Kiowa County,Colorado,CO
0500000US08063,"Kit Carson County, Colorado",Kit Carson County,Colorado,CO
0500000US08065,"Lake County, Colorado",Lake County,Colorado,CO
0500000US08067,"La Plata County, Colorado",La Plata County,Colorado,CO
0500000US08069,"Larimer County, Colorado",Larimer County,Colorado,CO
0500000US08071,"Las Animas County, Colorado",Las Animas County,Colorado,CO
0500000US08073,"Lincoln County, Colorado",Lincoln County,Colorado,CO
0500000US08075,"Logan County, Colorado",Logan County,Colorado,CO
0500000US08077,"Mesa County, Colorado",Mesa County,Colorado,CO
0500000US08079,"Mineral County, Colorado",Mineral County,Colorado,CO
0500000US08081,"Moffat County, Colorado",Moffat County,Colorado,CO
0500000US08083,"Montezuma County, Colorado",Montezuma County,Colorado,CO
0500000US08085,"Montrose County, Colorado",Montrose County,Colorado,CO
0500000US08087,"Morgan County, Colorado",Morgan County,Colorado,CO
0500000US08089,"Otero County, Colorado",Otero County,Colorado,CO
0500000US08091,"Ouray County, Colorado",Ouray County,Colorado,CO
0500000US08093,"Park County, Colorado",Park County,Colorado,CO
0500000US08095,"Phillips County, Colorado",Phillips County,Colorado,CO
0500000US08097,"Pitkin County, Colorado",Pitkin County,Colorado,CO
0500000US08099,"Prowers County, Colorado",Prowers County,Colorado,CO
0500000US08101,"Pueblo County, Colorado",Pueblo County,Colorado,CO
0500000US08103,"Rio Blanco County, Colorado",Rio Blanco County,Colorado,CO
0500000US08105,"Rio Grande County, Colorado",Rio Grande County,Colorado,CO
0500000US08107,"Routt County, Colorado",Routt County,Colorado,CO
0500000US08109,"Saguache County, Colorado",Saguache County,Colorado,CO
0500000US08111,"San Juan County, Colorado",San Juan County,Colorado,CO
0500000US08113,"San Miguel County, Colorado",San Miguel County,Colorado,CO
0500000US08115,"Sedgwick County, Colorado",Sedgwick County,Colorado,CO
0500000US08117,"Summit County, Colorado",Summit County,Colorado,CO
0500000US08119,"Teller County, Colorado",Teller County,Colorado,CO
0500000US08121,"Washington County, Colorado",Washington County,Colorado,CO
0500000US08123,"Weld County, Colorado",Weld County,Colorado,CO
0500000US08125,"Yuma County, Colorado",Yuma County,Colorado,CO
0500000US09001,"Fairfield County, Connecticut",Fairfield County,Connecticut,CT
0500000US09003,"Hartford County, Connecticut",Hartford County,Connecticut,CT
0500000US09005,"Litchfield County, Connecticut",Litchfield County,Connecticut,CT
0500000US09007,"Middlesex County, Connecticut",Middlesex County,Connecticut,CT
0500000US09009,"New Haven County, Connecticut",New Haven County,Connecticut,CT
0500000US09011,"New London County, Connecticut",New London County,Connecticut,CT
0500000US09013,"Tolland County, Connecticut",Tolland County,Connecticut,CT
0500000US09015,"Windham County, Connecticut",Windham County,Connecticut,CT
0500000US10001,"Kent County, Delaware",Kent County,Delaware,DE
0500000US10003,"New Castle County, Delaware",New Castle County,Delaware,DE
0500000US10005,"Sussex County, Delaware",Sussex County,Delaware,DE
0500000US11001,"District of Columbia, District of Columbia",District of Columbia,District of Columbia,DC
0500000US12001,"Alachua County, Florida",Alachua County,Florida,FL
0500000US12003,"Baker County, Florida",Baker County,Florida,FL
0500000US12005,"Bay County, Florida",Bay County,Florida,FL
0500000US12007,"Bradford County, Florida",Bradford County,Florida,FL
0500000US12009,"Brevard County, Florida",Brevard County,Florida,FL
0500000US12011,"Broward County, Florida",Broward County,Florida,FL
0500000US12013,"Calhoun County, Florida",Calhoun County,Florida,FL
0500000US12015,"Charlotte County, Florida",Charlotte County,Florida,FL
0500000US12017,"Citrus County, Florida",Citrus County,Florida,FL
0500000US12019,"Clay County, Florida",Clay County,Florida,FL
0500000US12021,"Collier County, Florida",Collier County,Florida,FL
0500000US12023,"Columbia County, Florida",Columbia County,Florida,FL
0500000US12027,"DeSoto County, Florida",DeSoto County,Florida,FL
0500000US12029,"Dixie County, Florida",Dixie County,Florida,FL
0500000US12031,"Duval County, Florida",Duval County,Florida,FL
0500000US12033,"Escambia County, Florida",Escambia County,Florida,FL
0500000US12035,"Flagler County, Florida",Flagler County,Florida,FL
0500000US12037,"Franklin County, Florida",Franklin County,Florida,FL
0500000US12039,"Gadsden County, Florida",Gadsden County,Florida,FL
0500000US12041,"Gilchrist County, Florida",Gilchrist County,Florida,FL
0500000US12043,"Glades County, Florida",Glades County,Florida,FL
0500000US12045,"Gulf County, Florida",Gulf County,Florida,FL
0500000US12047,"Hamilton County, Florida",Hamilton County,Florida,FL
0500000US12049,"Hardee County, Florida",Hardee County,Florida,FL
0500000US12051,"Hendry County, Florida",Hendry County,Florida,FL
0500000US12053,"Hernando County, Florida",Hernando County,Florida,FL
0500000US12055,"Highlands County, Florida",Highlands County,Florida,FL
0500000US12057,"Hillsborough County, Florida",Hillsborough County,Florida,FL
0500000US12059,"Holmes County, Florida",Holmes County,Florida,FL
0500000US12061,"Indian River County, Florida",Indian River County,Florida,FL
0500000US12063,"Jackson County, Florida",Jackson County,Florida,FL
0500000US12065,"Jefferson County, Florida",Jefferson County,Florida,FL
0500000US12067,"Lafayette County, Florida",Lafayette County,Florida,FL
0500000US12069,"Lake County, Florida",Lake County,Florida,FL
0500000US12071,"Lee County, Florida",Lee County,Florida,FL
0500000US12073,"Leon County, Florida",Leon County,Florida,FL
0500000US12075,"Levy County, Florida",Levy County,Florida,FL
0500000US12077,"Liberty County, Florida",Liberty County,Florida,FL
0500000US12079,"Madison County, Florida",Madison County,Florida,FL
0500000US12081,"Manatee County, Florida",Manatee County,Florida,FL
0500000US12083,"Marion County, Florida",Marion County,Florida,FL
0500000US12085,"Martin County, Florida",Martin County,Florida,FL
0500000US12086,"Miami-Dade County, Florida",Miami-Dade County,Florida,FL
0500000US12087,"Monroe County, Florida",Monroe County,Florida,FL
0500000US12089,"Nassau County, Florida",Nassau County,Florida,FL
0500000US12091,"Okaloosa County, Florida",Okaloosa County,Florida,FL
0500000US12093,"Okeechobee County, Florida",Okeechobee County,Florida,FL
0500000US12095,"Orange County, Florida",Orange County,Florida,FL
0500000US12097,"Osceola County, Florida",Osceola County,Florida,FL
0500000US12099,"Palm Beach County, Florida",Palm Beach County,Florida,FL
0500000US12101,"Pasco County, Florida",Pasco County,Florida,FL
0500000US12103,"Pinellas County, Florida",Pinellas County,Florida,FL
0500000US12105,"Polk County, Florida",Polk County,Florida,FL
0500000US12107,"Putnam County, Florida",Putnam County,Florida,FL
0500000US12109,"St. Johns County, Florida",St. Johns County,Florida,FL
0500000US12111,"St. Lucie County, Florida",St. Lucie County,Florida,FL
0500000US12113,"Santa Rosa County, Florida",Santa Rosa County,Florida,FL
0500000US12115,"Sarasota County, Florida",Sarasota County,Florida,FL
0500000US12117,"Seminole County, Florida",Seminole County,Florida,FL
0500000US12119,"Sumter County, Florida",Sumter County,Florida,FL
0500000US12121,"Suwannee County, Florida",Suwannee County,Florida,FL
0500000US12123,"Taylor County, Florida",Taylor County,Florida,FL
0500000US12125,"Union County, Florida",Union County,Florida,FL
0500000US12127,"Volusia County, Florida",Volusia County,Florida,FL
0500000US12129,"Wakulla County, Florida",Wakulla County,Florida,FL
0500000US12131,"Walton County, Florida",Walton County,Florida,FL
0500000US12133,"Washington County, Florida",Washington County,Florida,FL
0500000US13001,"Appling County, Georgia",Appling County,Georgia,GA
0500000US13003,"Atkinson County, Georgia",Atkinson County,Georgia,GA
0500000US13005,"Bacon County, Georgia",Bacon County,Georgia,GA
0500000US13007,"Baker County, Georgia",Baker County,Georgia,GA
0500000US13009,"Baldwin County, Georgia",Baldwin County,Georgia,GA
0500000US13011,"Banks County, Georgia",Banks County,Georgia,GA
0500000US13013,"Barrow County, Georgia",Barrow County,Georgia,GA
0500000US13015,"Bartow County, Georgia",Bartow County,Georgia,GA
0500000US13017,"Ben Hill County, Georgia",Ben Hill County,Georgia,GA
0500000US13019,"Berrien County, Georgia",Berrien County,Georgia,GA
0500000US13021,"Bibb County, Georgia",Bibb County,Georgia,GA
0500000US13023,"Bleckley County, Georgia",Bleckley County,Georgia,GA
0500000US13025,"Brantley County, Georgia",Brantley County,Georgia,GA
0500000US13027,"Brooks County, Georgia",Brooks County,Georgia,GA
0500000US13029,"Bryan County, Georgia",Bryan County,Georgia,GA
0500000US13031,"Bulloch County, Georgia",Bulloch County,Georgia,GA
0500000US13033,"Burke County, Georgia",Burke County,Georgia,GA
0500000US13035,"Butts County, Georgia",Butts County,Georgia,GA
0500000US13037,"Calhoun County, Georgia",Calhoun County,Georgia,GA
0500000US13039,"Camden County, Georgia",Camden County,Georgia,GA
0500000US13043,"Candler County, Georgia",Candler County,Georgia,GA
0500000US13045,"Carroll County, Georgia",Carroll County,Georgia,GA
0500000US13047,"Catoosa County, Georgia",Catoosa County,Georgia,GA
0500000US13049,"Charlton County, Georgia",Charlton County,Georgia,GA
0500000US13051,"Chatham County, Georgia",Chatham County,Georgia,GA
0500000US13053,"Chattahoochee County, Georgia",Chattahoochee County,Georgia,GA
0500000US13055,"Chattooga County, Georgia",Chattooga County,Georgia,GA
0500000US13057,"Cherokee County, Georgia",Cherokee County,Georgia,GA
0500000US13059,"Clarke County, Georgia",Clarke County,Georgia,GA
0500000US13061,"Clay County, Georgia",Clay County,Georgia,GA
0500000US13063,"Clayton County, Georgia",Clayton County,Georgia,GA
0500000US13065,"Clinch County, Georgia",Clinch County,Georgia,GA
